"level_0","building_name_en_out","project_name_en_out","master_project_en_out","area_name_en_out","transaction_id","procedure_id","trans_group_id","trans_group_ar","trans_group_en","procedure_name_ar","procedure_name_en","instance_date","property_type_id","property_type_ar","property_type_en","property_sub_type_id","property_sub_type_ar","property_sub_type_en","property_usage_ar","property_usage_en","reg_type_id","reg_type_ar","reg_type_en","area_id","area_name_ar","area_name_en_tr","building_name_ar","building_name_en_tr","project_number","project_name_ar","project_name_en_tr","master_project_en_tr","master_project_ar","nearest_landmark_ar","nearest_landmark_en","nearest_metro_ar","nearest_metro_en","nearest_mall_ar","nearest_mall_en","rooms_ar","rooms_en","has_parking","procedure_area","actual_worth","meter_sale_price","rent_value","meter_rent_price","no_of_parties_role_1","no_of_parties_role_2","no_of_parties_role_3","building_name_en","project_name_en","master_project_en","area_name_en","building_name_en_lower","project_name_en_lower","проект Вася","Developer","area","json_project_name","total_units","room_types","1br","2br","3br","4br","other","Количество билдингов в проекте","Билдинг","этажей","response_inspections","response_media","Билдинг_lower","проект Вася_lower","fuzzy_score"
"0","","","","Mankhool","1-11-2024-10138","11","1","مبايعات","Sales","بيع","Sell","19-03-2024","4","فيلا","Villa","","","","سكني","Residential","1","العقارات القائمة","Existing Properties","278","منخول","Mankhool","","","","","","","","برج خليفة","Burj Khalifa","محطة مترو بنك أبوظبي التجاري","ADCB Metro Station","مول دبي","Dubai Mall","","","0","1305.29","5769000.00","4419.71","","","8","1","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","LATIFA TOWER","LATIFA TOWER","","Trade Center First","1-11-2019-8000","11","1","مبايعات","Sales","بيع","Sell","04-09-2019","3","وحدة","Unit","42","مكتب","Office","تجاري","Commercial","1","العقارات القائمة","Existing Properties","341","المركز التجارى الاولى","Trade Center First","برج لطيفه","latifa tower","614","لطيفة تاور","latifa tower","","","برج خليفة","Burj Khalifa","محطة مترو أبراج الإمارات","Emirates Towers Metro Station","مول دبي","Dubai Mall","مكتب","Office","1","130.13","1505764.00","11571.23","","","1","1","0","LATIFA TOWER","LATIFA TOWER","","Trade Center First","latifa tower","latifa tower","Latifa Tower","R.K.M. Real Estate (Llc)","Trade Center First","Latifa Tower","554","Shop, 3 B/R, Office, 2 B/R, 1 B/R","31","93","124","0","306","1","Latifa Tower","41","0","0","latifa tower","latifa tower","100"
"2","EMAAR TOWER 1","","","Rega Al Buteen","2-13-2010-3812","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","15-07-2010","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","255","رقه البطين","Rega Al Buteen","اعمار تاور 1","emaar tower 1","","","","","","مطار دبي الدولي","Dubai International Airport","محطة مترو الرقة","Al Rigga Metro Station","مول دبي","Dubai Mall","ثلاث غرف","3 B/R","1","168.34","2000000.00","11880.72","","","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","VOLTA TOWER","VOLTA TOWER","","Burj Khalifa","1-102-2023-59388","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","08-11-2023","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","390","برج خليفة","Burj Khalifa","برج فولتا","volta tower","2782","فولتا تاور","volta tower","","","برج خليفة","Burj Khalifa","محطة مترو بوج خليفة دبي مول","Buj Khalifa Dubai Mall Metro Station","مول دبي","Dubai Mall","غرفة","1 B/R","0","63.67","1769000.00","27783.89","","","1","1","0","VOLTA TOWER","VOLTA TOWER","","Burj Khalifa","volta tower","volta tower","Volta Tower","Damac C S L Investment L.L.C","Burj Khalifa","Volta Tower","414","4 B/R, 1 B/R, 3 B/R, 2 B/R","202","172","20","20","0","1","Volta Tower","65","0","0","volta tower","volta tower","100"
"4","Courtyard Residence 1","","Uptown Mirdif","Mirdif","1-133-2014-1944","133","1","مبايعات","Sales","تسجيل حق منفعة","Development Registration","10-11-2014","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","232","مردف","Mirdif","كورت يارد ريسيدينس 1","courtyard residence 1","","","","Uptown Mirdif","اب تاون مردف","مطار دبي الدولي","Dubai International Airport","محطة مترو الراشدية","Rashidiya Metro Station","سيتي سنتر مردف","City Centre Mirdif","استوديو","Studio","1","46.17","520000.00","11262.72","","","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","COURTYARD RESIDENCE 2","","Uptown Mirdif","Mirdif","1-45-2023-265","45","1","مبايعات","Sales","بيع حق منفعة","Sell Development","08-03-2023","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","232","مردف","Mirdif","كورت يارد ريسيدينس 2","courtyard residence 2","","","","Uptown Mirdif","اب تاون مردف","مطار دبي الدولي","Dubai International Airport","محطة مترو الراشدية","Rashidiya Metro Station","سيتي سنتر مردف","City Centre Mirdif","استوديو","Studio","1","38.90","370000.00","9511.57","","","2","1","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","TERRACED APARTMENTS","","Uptown Mirdif","Mirdif","2-39-2023-375","39","2","رهون","Mortgages","رهن حق منفعة","Development Mortgage","12-09-2023","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","232","مردف","Mirdif","تيراس ابارتمينتس","terraced apartments","","","","Uptown Mirdif","اب تاون مردف","مطار دبي الدولي","Dubai International Airport","محطة مترو الراشدية","Rashidiya Metro Station","سيتي سنتر مردف","City Centre Mirdif","غرفتين","2 B/R","1","176.90","872000.00","4929.34","","","1","0","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","GARDEN APARTMENTS","","Uptown Mirdif","Mirdif","1-45-2021-112","45","1","مبايعات","Sales","بيع حق منفعة","Sell Development","28-01-2021","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","232","مردف","Mirdif","جاردين ابارتمينتس","garden apartments","","","","Uptown Mirdif","اب تاون مردف","مطار دبي الدولي","Dubai International Airport","محطة مترو الراشدية","Rashidiya Metro Station","سيتي سنتر مردف","City Centre Mirdif","غرفة","1 B/R","1","109.19","500000.00","4579.17","","","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","J8","J8","TECOM Site B","Al Safouh First","2-110-2017-664","110","2","رهون","Mortgages","تسجيل إيجارة تنتهى بالتملك","Lease to Own Registration","17-07-2017","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","307","الصفوح الاولى","Al Safouh First","8ج","j8","1693","جي 8","j8","TECOM Site B","تيكوم سايت بي","برج العرب","Burj Al Arab","مدينة دبي للإنترنت","Dubai Internet City","مول الإمارات","Mall of the Emirates","غرفة","1 B/R","1","77.06","881000.00","11432.65","881000.00","11432.65","2","2","2","J8","J8","TECOM Site B","Al Safouh First","j8","j8","J8","Aqua Real Estate Development L.L.C","Al Safouh First","J8","92","1 B/R, 3 B/R, 2 B/R","56","32","4","0","0","1","J8","8","0","0","j8","j8","100"
"9","The S Tower","THE S TOWER","TECOM Site A","Al Safouh Second","1-102-2023-6642","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","10-02-2023","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","371","الصفوح الثانيه","Al Safouh Second","ذا إس تاور","the s tower","2408","ذا إس تاور","the s tower","TECOM Site A","تيكوم سايت ايه","برج العرب","Burj Al Arab","مدينة دبي للإنترنت","Dubai Internet City","مارينا مول","Marina Mall","أربع غرف","4 B/R","1","447.24","15036984.00","33621.73","","","1","1","0","The S Tower","THE S TOWER","TECOM Site A","Al Safouh Second","the s tower","the s tower","The S Tower","Sobha L.L.C","Al Safouh Second","The S Tower","95","NA, 6 B/R, 4 B/R, 5 B/R","0","0","0","87","8","1","The S Tower","64","0","0","the s tower","the s tower","100"
